"Force adding catalog breadcrumbs to product","Erzwingen des Hinzufügens der Katalog-Breadcrumbs zum Produkt"
"Tries to add catalog breadcrumbs to product, if it is called directly without category.","Versucht, Katalog-Breadcrumbs zum Produkt hinzuzufügen, falls dieses direkt ohne Kategorie aufgerufen wird."
"Tuning","Tuning"
